date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:48:23	46401/46401	---MCZ	200	added ('OK')	text/html	date:Sat,%2024%20Jul%202021%2012:55:31%20GMT	https://bslthemes.site/html/ryan/index-new-demo-1.html	C:/Users/Golden/Documents/Template/Great6/bslthemes.site/html/ryan/index-new-demo-1.html	(from )
01:48:25	70/70	---MCZ	200	added ('OK')	text/plain	date:Fri,%2013%20Aug%202021%2023:48:39%20GMT	https://bslthemes.site/robots.txt		(from )
01:48:26	16374/16374	---MCZ	200	added ('OK')	text/css	etag:W/%225f6ffdbf-3ff6%22	https://bslthemes.site/html/ryan/css/basic.css	C:/Users/Golden/Documents/Template/Great6/bslthemes.site/html/ryan/css/basic.css	(from https://bslthemes.site/html/ryan/index-new-demo-1.html)
01:48:27	72140/72140	---MCZ	200	added ('OK')	text/css	etag:W/%225f6ffdc0-119cc%22	https://bslthemes.site/html/ryan/css/layout.css	C:/Users/Golden/Documents/Template/Great6/bslthemes.site/html/ryan/css/layout.css	(from https://bslthemes.site/html/ryan/index-new-demo-1.html)
01:48:27	2775/2775	---MCZ	200	added ('OK')	text/css	etag:W/%225f6ffdc0-ad7%22	https://bslthemes.site/html/ryan/css/blogs.css	C:/Users/Golden/Documents/Template/Great6/bslthemes.site/html/ryan/css/blogs.css	(from https://bslthemes.site/html/ryan/index-new-demo-1.html)
01:48:27	57174/57174	---MCZ	200	added ('OK')	text/css	etag:W/%225f6ffdc1-df56%22	https://bslthemes.site/html/ryan/css/ionicons.css	C:/Users/Golden/Documents/Template/Great6/bslthemes.site/html/ryan/css/ionicons.css	(from https://bslthemes.site/html/ryan/index-new-demo-1.html)
01:48:28	6951/6951	---MCZ	200	added ('OK')	text/css	etag:W/%225f6ffdbe-1b27%22	https://bslthemes.site/html/ryan/css/magnific-popup.css	C:/Users/Golden/Documents/Template/Great6/bslthemes.site/html/ryan/css/magnific-popup.css	(from https://bslthemes.site/html/ryan/index-new-demo-1.html)
01:48:28	74870/74870	---MCZ	200	added ('OK')	text/css	etag:W/%225f6ffdbf-12476%22	https://bslthemes.site/html/ryan/css/animate.css	C:/Users/Golden/Documents/Template/Great6/bslthemes.site/html/ryan/css/animate.css	(from https://bslthemes.site/html/ryan/index-new-demo-1.html)
01:48:28	4744/4744	---MCZ	200	added ('OK')	text/css	etag:W/%225f6ffdc1-1288%22	https://bslthemes.site/html/ryan/css/owl.carousel.css	C:/Users/Golden/Documents/Template/Great6/bslthemes.site/html/ryan/css/owl.carousel.css	(from https://bslthemes.site/html/ryan/index-new-demo-1.html)
01:48:29	2966/2966	---MCZ	200	added ('OK')	text/css	etag:W/%225f6ffdbf-b96%22	https://bslthemes.site/html/ryan/css/gradient.css	C:/Users/Golden/Documents/Template/Great6/bslthemes.site/html/ryan/css/gradient.css	(from https://bslthemes.site/html/ryan/index-new-demo-1.html)
01:48:29	50438/50438	---MCZ	200	added ('OK')	text/css	etag:W/%225f6ffdc3-c506%22	https://bslthemes.site/html/ryan/css/new-skin/new-skin.css	C:/Users/Golden/Documents/Template/Great6/bslthemes.site/html/ryan/css/new-skin/new-skin.css	(from https://bslthemes.site/html/ryan/index-new-demo-1.html)
01:48:29	11678/11678	---MCZ	200	added ('OK')	text/css	etag:W/%225f6ffdc7-2d9e%22	https://bslthemes.site/html/ryan/css/demos/demo-1-colors.css	C:/Users/Golden/Documents/Template/Great6/bslthemes.site/html/ryan/css/demos/demo-1-colors.css	(from https://bslthemes.site/html/ryan/index-new-demo-1.html)
01:48:30	1150/1150	---M--	200	added ('OK')	image/x-icon	etag:%225f6ffdb5-47e%22	https://bslthemes.site/html/ryan/images/favicons/favicon.ico	C:/Users/Golden/Documents/Template/Great6/bslthemes.site/html/ryan/images/favicons/favicon.ico	(from https://bslthemes.site/html/ryan/index-new-demo-1.html)
01:48:31	22375/22375	---M--	200	added ('OK')	image/png	etag:%225f6ffdb4-5767%22	https://bslthemes.site/html/ryan/images/clients/client_1.png	C:/Users/Golden/Documents/Template/Great6/bslthemes.site/html/ryan/images/clients/client_1.png	(from https://bslthemes.site/html/ryan/index-new-demo-1.html)
01:48:31	305518/305518	---M--	200	added ('OK')	image/jpeg	etag:%225f6ffdaf-4a96e%22	https://bslthemes.site/html/ryan/images/man5_big.jpg	C:/Users/Golden/Documents/Template/Great6/bslthemes.site/html/ryan/images/man5_big.jpg	(from https://bslthemes.site/html/ryan/index-new-demo-1.html)
01:48:32	20220/20220	---M--	200	added ('OK')	image/png	etag:%225f6ffdb4-4efc%22	https://bslthemes.site/html/ryan/images/clients/client_2.png	C:/Users/Golden/Documents/Template/Great6/bslthemes.site/html/ryan/images/clients/client_2.png	(from https://bslthemes.site/html/ryan/index-new-demo-1.html)
01:48:33	28152/28152	---M--	200	added ('OK')	image/png	etag:%225f6ffdb4-6df8%22	https://bslthemes.site/html/ryan/images/clients/client_3.png	C:/Users/Golden/Documents/Template/Great6/bslthemes.site/html/ryan/images/clients/client_3.png	(from https://bslthemes.site/html/ryan/index-new-demo-1.html)
01:48:33	22401/22401	---M--	200	added ('OK')	image/png	etag:%225f6ffdb3-5781%22	https://bslthemes.site/html/ryan/images/clients/client_4.png	C:/Users/Golden/Documents/Template/Great6/bslthemes.site/html/ryan/images/clients/client_4.png	(from https://bslthemes.site/html/ryan/index-new-demo-1.html)
01:48:34	46189/46189	---M--	200	added ('OK')	image/png	etag:%225f6ffda9-b46d%22	https://bslthemes.site/html/ryan/images/profile.png	C:/Users/Golden/Documents/Template/Great6/bslthemes.site/html/ryan/images/profile.png	(from https://bslthemes.site/html/ryan/index-new-demo-1.html)
01:48:34	7820/7820	---M--	200	added ('OK')	image/jpeg	etag:%225f6ffda6-1e8c%22	https://bslthemes.site/html/ryan/images/man1.jpg	C:/Users/Golden/Documents/Template/Great6/bslthemes.site/html/ryan/images/man1.jpg	(from https://bslthemes.site/html/ryan/index-new-demo-1.html)
01:48:35	42535/42535	---M--	200	added ('OK')	image/jpeg	etag:%225f6ffdbc-a627%22	https://bslthemes.site/html/ryan/images/works/work1.jpg	C:/Users/Golden/Documents/Template/Great6/bslthemes.site/html/ryan/images/works/work1.jpg	(from https://bslthemes.site/html/ryan/index-new-demo-1.html)
01:48:35	57405/57405	---M--	200	added ('OK')	image/jpeg	etag:%225f6ffdbc-e03d%22	https://bslthemes.site/html/ryan/images/works/work2.jpg	C:/Users/Golden/Documents/Template/Great6/bslthemes.site/html/ryan/images/works/work2.jpg	(from https://bslthemes.site/html/ryan/index-new-demo-1.html)
01:48:36	69913/69913	---M--	200	added ('OK')	image/jpeg	etag:%225f6ffdbc-11119%22	https://bslthemes.site/html/ryan/images/works/work3.jpg	C:/Users/Golden/Documents/Template/Great6/bslthemes.site/html/ryan/images/works/work3.jpg	(from https://bslthemes.site/html/ryan/index-new-demo-1.html)
